date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-09-17,5e9c9ba01243491be8fe4bdf,22,2,0,""" 1 hour """,,"""because Sven proposed to Isabel in a hurry because he had forgotten that the ring was in his back pocket""",,"""Gates C6""",,"""First Class seats C3 and C2""",,"""10 years""",,"""2 Diamonds and they were silver""",,"""Inside of a pocket sized wedding ring box""",,"""Her best friend """,
2020-09-17,5eda9f7c460b766ded73bdb7,22,2,0,""" 2 hours""",,"""the ring in svens pocket""",,"""2a""",,"""12a and 12b""",,"""2 years""",,"""5 diamonds and a clear blue""",,"""a ring pillow in the box""",,"""her friend""",
2020-09-17,5e0940924cac6822f3574032,22,20,2,""" 15""",,"""A man had a suspicious amount of metal objects""",,"""num_6""",,"""7a7b""",,"""num_1num_111months""",,"""2pink""",,"""silver band""",,"""best friend""",
2020-09-17,5d4200720eddc0000173e988,22,2,1,"""I dont recall""",,"""Sven had a ring in his pocket that he forgot about""",,"""I cannot recall""",,"""2a and 2b""",,""" I dont recall""",,"""no recollection""",,"""in a box""",,"""I dont recall""",
2020-09-17,5ea000d6e849b0000814e9d5,22,20,2,""" 10 """,,"""too many metal items from a person in front of them""",,"""c""",,"""1a and 1b""",,"""11 months""",,"""3 pink""",,"""a box from a velvet bag""",,"""her best friend""",
2020-09-17,5d9f8573ce3daf0015e3e400,22,2,0,"""I cant recall, I think they were in a rush""",,"""A person in front of them had a lot of metal on their body. Sven also had the ring in his pocket so security stopped him.""",,"""I cant recall""",,"""They sat in the front, B2 and B3""",,"""I forget""",,"""I dont remember""",,"""In a box I think""",,"""I forget""",
2020-09-17,5dd827c1393bd37c1adb1d47,22,2,1,"""1 hour 15 minutes""",,"""someone with metal on their person""",,"""c4""",,"""5a""",,""" 1 year""",,"""3 pink""",,"""box""",,"""her friend""",
2020-09-17,5898b6e256357700011c2c6b,22,20,2,"""30 min""",,"""ring in pocket""",,"""34""",,"""first claww""",,""" 2""",,"""1""",,"""red bag""",,"""no on""",
2020-09-17,5a68460063394a000155bc50,22,20,2,"""no idea""",,"""isabel had packed her laptop""",,"""no idea""",,"""first class front seats """,,""" 11 months""",,"""no idea""",,"""a velvet case""",,"""her best friend""",
2020-09-17,5c6fe83f2b44fc000115f3b9,22,2,0,"""?""",,"""ring setting of metal detectors""",,"""donapostrophet know""",,"""dont know""",,""" I have no idea""",,"""1 i think""",,"""a ring box""",,"""cant remember""",
2020-09-17,5ec607a0e89daa67ea37f84f,22,2,0,"""hours""",,"""the proposal""",,"""boarding gate""",,"""2a 2b""",,""" 5 """,,"""10""",,"""propose""",,"""love""",
